Date,Portfolio Value,Strategy Return (%),Nifty Return (%),Peak,Drawdown (%)
2025-11-04,960043.9667215209,-3.9956033278479124,4.202263748186338,1000000.0,-3.9956033278479124
2025-11-06,949992.5820627448,-5.000741793725523,3.844234356080986,1000000.0,-5.000741793725523
2025-11-07,951216.6168527838,-4.878338314721617,3.773409239497422,1000000.0,-4.878338314721617
2025-11-10,948192.4900021031,-5.1807509997896855,4.10741152088033,1000000.0,-5.1807509997896855
2025-11-11,951546.2636646228,-4.845373633537721,4.598345341455694,1000000.0,-4.845373633537721
2025-11-12,950965.9565235095,-4.903404347649054,5.334551279395941,1000000.0,-4.903404347649054
2025-11-13,945271.7638645128,-5.472823613548721,5.348186783991902,1000000.0,-5.472823613548721
2025-11-14,930814.7646605335,-6.918523533946648,5.473975307731076,1000000.0,-6.918523533946648
2025-11-17,923783.4453888462,-7.621655461115378,5.894887035608702,1000000.0,-7.621655461115378
2025-11-18,925583.0431743179,-7.441695682568208,5.473975307731076,1000000.0,-7.441695682568208
2025-11-19,916359.1115764176,-8.364088842358242,6.054466168404922,1000000.0,-8.364088842358242
2025-11-20,913797.3729899918,-8.62026270100082,6.622339218120289,1000000.0,-8.62026270100082
2025-11-21,897572.1940340294,-10.242780596597061,6.117563173928851,1000000.0,-10.242780596597061
2025-11-24,897938.1996492638,-10.206180035073624,5.6752719289325455,1000000.0,-10.206180035073624
2025-11-25,894051.2064659212,-10.594879353407876,5.37118825034532,1000000.0,-10.594879353407876
2025-11-26,908158.8534385775,-9.18411465614225,6.67587149359819,1000000.0,-9.18411465614225
2025-11-27,901717.8873603914,-9.828211263960856,6.717596932734983,1000000.0,-9.828211263960856
2025-11-28,904085.5273403103,-9.591447265968972,6.666298812820619,1000000.0,-9.591447265968972
2025-12-01,899883.7794157136,-10.011622058428637,6.555576925355114,1000000.0,-10.011622058428637
2025-12-02,903783.1092250932,-9.621689077490684,5.971214058419908,1000000.0,-9.621689077490684
2025-12-03,898949.9681118119,-10.10500318881881,5.783147454505715,1000000.0,-10.10500318881881
2025-12-04,904763.9711879839,-9.523602881201612,5.977526939264918,1000000.0,-9.523602881201612
2025-12-05,889061.2947157968,-11.093870528420318,6.599131032746758,1000000.0,-11.093870528420318
2025-12-08,878546.2282239549,-12.145377177604509,5.67954942250259,1000000.0,-12.145377177604509
2025-12-09,878815.9796887987,-12.118402031120134,5.187391189269629,1000000.0,-12.118402031120134
2025-12-10,879680.992112314,-12.031900788768603,4.855010857121458,1000000.0,-12.031900788768603
2025-12-11,899247.0513688676,-10.075294863113237,5.42716140040687,1000000.0,-10.075294863113237
2025-12-12,910137.9916598909,-8.986200834010914,6.03125798303139,1000000.0,-8.986200834010914
2025-12-15,901021.5842246645,-9.897841577533551,5.95127362371048,1000000.0,-9.897841577533551
2025-12-16,895473.8144340151,-10.452618556598491,5.2706353485231,1000000.0,-10.452618556598491
2025-12-17,891590.8198334025,-10.840918016659748,5.101499436412395,1000000.0,-10.840918016659748
2025-12-18,891636.2544898909,-10.836374551010913,5.089287112762602,1000000.0,-10.836374551010913
2025-12-19,896384.8526893537,-10.361514731064625,5.703361863473377,1000000.0,-10.361514731064625
2025-12-22,895065.9649177473,-10.49340350822527,6.541941420759153,1000000.0,-10.49340350822527
2025-12-23,893217.5491004866,-10.678245089951343,6.561277599871325,1000000.0,-10.678245089951343
2025-12-24,882787.7997668434,-11.721220023315656,6.4185937716036285,1000000.0,-11.721220023315656
2025-12-26,880581.6617205788,-11.941833827942121,6.012335241959445,1000000.0,-11.941833827942121
2025-12-29,877238.6651105,-12.276133488950006,5.604438861617438,1000000.0,-12.276133488950006
2025-12-30,870704.0404426628,-12.929595955733722,5.591208844330162,1000000.0,-12.929595955733722
2025-12-31,864232.4173796893,-13.576758262031072,6.367709089729491,1000000.0,-13.576758262031072
2026-01-01,860321.6086409808,-13.967839135901922,6.4367134887897475,1000000.0,-13.967839135901922
