date,portfolio_value,cash,open_positions_val,open_count,nifty_value,peak,drawdown,nifty_peak,nifty_drawdown
2025-01-20,1129744.976725904,585991.2352555671,543753.7414703369,2,1200614.5854762394,1166088.1638691898,-3.116675759978187,1348284.8581181858,-10.952453537752486
2025-01-21,1118049.348841993,113351.12408003001,1004698.2247619629,4,1184151.9435622813,1166088.1638691898,-4.119655487094526,1348284.8581181858,-12.173459752784463
2025-01-22,1130486.3550771815,398594.4514059169,731891.9036712646,3,1190873.7713112014,1166088.1638691898,-3.053097518276678,1348284.8581181858,-11.6749131950265
2025-01-23,1139904.9942269619,797692.939234286,342212.0549926758,2,1193445.2586594836,1166088.1638691898,-2.2453850792336083,1348284.8581181858,-11.484190342003341
2025-01-24,1131385.7065954688,663295.9091101171,468089.79748535156,2,1187625.962700576,1166088.1638691898,-2.9759720018574747,1348284.8581181858,-11.915797648417033
2025-01-27,1129610.8305578711,663295.9091101171,466314.9214477539,2,1174097.4280304979,1166088.1638691898,-3.1281797072944677,1348284.8581181858,-12.919186108105004
2025-01-28,1124590.4485363867,1030097.6655163672,94492.78302001953,1,1180685.5585270522,1166088.1638691898,-3.558711649650038,1348284.8581181858,-12.430555648681954
2025-01-29,1126222.2702526953,1030097.6655163672,96124.60473632812,1,1191272.351850185,1166088.1638691898,-3.4187718263270694,1348284.8581181858,-11.645351152807915
2025-01-30,1125278.7069592383,1030097.6655163672,95181.0414428711,1,1195715.9020777617,1166088.1638691898,-3.4996888035070963,1348284.8581181858,-11.315780572761607
2025-01-31,1125268.7031140234,1030097.6655163672,95171.03759765625,1,1209031.0836569122,1166088.1638691898,-3.500546701350914,1348284.8581181858,-10.328216149785394
2025-02-01,1114123.0019860938,1018861.8685022071,95261.13348388672,1,1207681.052799064,1166088.1638691898,-4.456366464665133,1348284.8581181858,-10.428345647622558
2025-02-03,1113191.9626489356,1018861.8685022071,94330.09414672852,1,1201452.9305312694,1166088.1638691898,-4.536209427316338,1348284.8581181858,-10.890274907622349
2025-02-04,1115394.4248376563,1018861.8685022071,96532.55633544922,1,1220903.6206541862,1166088.1638691898,-4.3473332979666734,1348284.8581181858,-9.447650227399777
2025-02-05,1114555.9938379005,1018861.8685022071,95694.12533569336,1,1218694.7532015017,1166088.1638691898,-4.4192344651111775,1348284.8581181858,-9.611478178102086
2025-02-06,1114766.2201257423,1018861.8685022071,95904.35162353516,1,1213914.2979518103,1166088.1638691898,-4.40120612948823,1348284.8581181858,-9.966036431939001
2025-02-07,1115431.9584069923,1018861.8685022071,96570.08990478516,1,1211682.2268437564,1166088.1638691898,-4.344114538828308,1348284.8581181858,-10.131585358385394
2025-02-10,1120586.5477319434,647728.8453088477,472857.7024230957,2,1202509.7515621786,1166088.1638691898,-3.9020734063767306,1348284.8581181858,-10.811892285096704
2025-02-11,1119325.6825891212,647728.8453088477,471596.83728027344,2,1186576.8762214566,1166088.1638691898,-4.010201177662788,1348284.8581181858,-11.993606612361322
2025-02-12,1123870.4618859962,647728.8453088477,476141.61657714844,2,1185211.3762600287,1166088.1638691898,-3.620455407343416,1348284.8581181858,-12.094883427361212
2025-02-13,1125989.6178918555,647728.8453088477,478260.7725830078,2,1184499.0943542994,1166088.1638691898,-3.43872335040976,1348284.8581181858,-12.147712167626342
2025-02-14,1125510.805422373,647728.8453088477,477781.9601135254,2,1179245.525612014,1166088.1638691898,-3.4797847799241186,1348284.8581181858,-12.537360446374922
2025-02-17,1115969.7367578223,647728.8453088477,468240.8914489746,2,1180801.275457725,1166088.1638691898,-4.297996383486976,1348284.8581181858,-12.421973120295906
2025-02-18,1114232.9207793903,1015955.9190398884,98277.00173950195,1,1180071.0132303026,1166088.1638691898,-4.446940179697818,1348284.8581181858,-12.476135430509904
2025-02-19,1115316.6221648883,1015955.9190398884,99360.703125,1,1179433.2642781835,1166088.1638691898,-4.354005406918526,1348284.8581181858,-12.523436188081954
2025-02-20,1114593.3119842242,1015955.9190398884,98637.39294433594,1,1178417.526775612,1166088.1638691898,-4.416034179962929,1348284.8581181858,-12.598771715026096
2025-02-21,1113717.3397552203,1015955.9190398884,97761.42071533203,1,1172387.38894389,1166088.1638691898,-4.491154763135418,1348284.8581181858,-13.046016805365406
2025-02-24,1114370.5693999957,1015955.9190398884,98414.65036010742,1,1159913.0636378832,1166088.1638691898,-4.435135873225078,1348284.8581181858,-13.971216345425324
2025-02-25,1114428.1412994098,1015955.9190398884,98472.22225952148,1,1159614.8313747172,1166088.1638691898,-4.430198690840597,1348284.8581181858,-13.993335726309141
