ticker,symbol,company_name,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,pnl,pnl_pct,holding_days,year
TECHM.NS,TECHM,Tech Mahindra Ltd.,2024-01-12,1205.7001953125,291,2024-01-15,1280.260876464844,Target Hit (1:2 RR),21697.158215332085,6.184015018179448,3,2024
TCS.NS,TCS,Tata Consultancy Services Ltd.,2024-01-12,3548.308349609375,102,2024-01-25,3486.8106201691103,Stop Loss Hit,-6272.7684029070015,-1.7331562925481059,13,2024
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Ltd.,2024-01-24,1158.727294921875,321,2024-01-29,1128.1406300709934,Stop Loss Hit,-9818.319417132981,-2.639677600150414,5,2024
GRASIM.NS,GRASIM,Grasim Industries Ltd.,2024-02-09,2145.6845703125,160,2024-02-13,2082.463452232316,Stop Loss Hit,-10115.378892829467,-2.9464311276180064,4,2024
INFY.NS,INFY,Infosys Ltd.,2024-01-12,1486.21875,168,2024-02-14,1526.8423178865023,Stop Loss Hit,6824.759404932389,2.733350516974861,33,2024
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2024-03-01,822.74658203125,442,2024-03-05,805.008885383077,Stop Loss Hit,-7840.061918492478,-2.1559125295155956,4,2024
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2024-02-29,471.8435363769531,770,2024-03-06,464.14247625627166,Stop Loss Hit,-5929.8162929247255,-1.6321215672072125,6,2024
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2024-03-07,816.6463012695312,443,2024-03-12,806.7750889436891,Stop Loss Hit,-4372.947060348086,-1.2087500195000849,5,2024
TATASTEEL.NS,TATASTEEL,Tata Steel Ltd.,2024-03-01,140.73638916015625,1585,2024-03-13,138.11036429271388,Stop Loss Hit,-4162.249414896153,-1.865917466771145,12,2024
INDIGO.NS,INDIGO,InterGlobe Aviation Ltd.,2024-03-11,3213.1201171875,110,2024-03-13,3131.554065348895,Stop Loss Hit,-8972.265702246532,-2.538531049688893,2,2024
ITC.NS,ITC,ITC Ltd.,2024-03-13,368.1454772949219,910,2024-03-19,361.19056980648804,Stop Loss Hit,-6328.965814474787,-1.8891736874067981,6,2024
TATASTEEL.NS,TATASTEEL,Tata Steel Ltd.,2024-03-18,140.5017547607422,1943,2024-03-20,137.53927689065986,Stop Loss Hit,-5756.094501569956,-2.1084988405497653,2,2024
MARUTI.NS,MARUTI,Maruti Suzuki India Ltd.,2024-03-15,11135.69140625,31,2024-03-22,11803.832890624999,Target Hit (1:2 RR),20712.38601562497,5.999999999999991,7,2024
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2024-03-27,461.7337341308594,773,2024-04-03,489.43775817871096,Target Hit (1:2 RR),21415.210588989277,6.000000000000006,7,2024
EICHERMOT.NS,EICHERMOT,Eicher Motors Ltd.,2024-03-20,3742.91455078125,94,2024-04-08,3967.489423828125,Target Hit (1:2 RR),21110.038066406243,5.999999999999998,19,2024
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,2024-03-28,1640.613525390625,153,2024-04-16,1643.1018509921428,Stop Loss Hit,380.71381703221914,0.15167043078748904,19,2024
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Ltd.,2024-04-18,262.12646484375,1406,2024-04-30,277.854052734375,Target Hit (1:2 RR),22112.988574218733,5.999999999999996,12,2024
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Ltd.,2024-04-18,1232.7847900390625,256,2024-05-03,1245.0182627734132,Stop Loss Hit,3131.769019993779,0.9923445546373965,15,2024
ONGC.NS,ONGC,Oil & Natural Gas Corporation Ltd.,2024-04-15,252.1095428466797,960,2024-05-06,250.15082186539973,Stop Loss Hit,-1880.3721420287548,-0.7769325028966271,21,2024
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Ltd.,2024-04-25,1220.893310546875,57,2024-05-08,1214.6266299987822,Stop Loss Hit,-357.20079124129165,-0.513286500462993,13,2024
CIPLA.NS,CIPLA,Cipla Ltd.,2024-05-13,1375.02978515625,274,2024-05-14,1333.7788916015625,Stop Loss Hit,-11302.744833984385,-3.0000000000000027,1,2024
ADANIENT.NS,ADANIENT,Adani Enterprises Ltd.,2024-05-14,3033.501953125,123,2024-05-16,2985.1020595076634,Stop Loss Hit,-5953.186914932402,-1.5955121956482292,2,2024
CIPLA.NS,CIPLA,Cipla Ltd.,2024-05-15,1367.302490234375,274,2024-05-17,1358.9462418120952,Stop Loss Hit,-2289.6120677046665,-0.6111484826483001,2,2024
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Ltd.,2024-06-03,315.9835510253906,476,2024-06-04,292.5971313476563,Stop Loss Hit,-11131.935766601551,-7.40115097822138,1,2024
NTPC.NS,NTPC,NTPC Ltd.,2024-06-03,369.513427734375,411,2024-06-04,342.40589294433596,Stop Loss Hit,-11141.196798706045,-7.336008046106869,1,2024
