Rank,ticker,Company Name,source_index,sector,trades,wins,losses,win_rate,total_pnl,profit_factor,avg_pnl_pct
28,HINDUNILVR.NS,Hindustan Unilever Limited,NIFTY LargeMidcap 250,Fast Moving Consumer Goods,1,1,0,100.0,11285.85,99.0,7.01
29,CANBK.NS,Canara Bank,NIFTY Next 50,Financial Services,3,2,1,66.7,10585.24,5.14,3.17
30,JAINREC.NS,Jain Resource Recycling Limited,NIFTY Smallcap 250,Metals & Mining,1,1,0,100.0,10578.9,99.0,6.0
31,PIRAMALFIN.NS,Piramal Finance Limited,NIFTY Smallcap 250,Financial Services,1,1,0,100.0,9981.59,99.0,6.0
32,MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,NIFTY Next 50,Capital Goods,2,2,0,100.0,9914.45,99.0,3.3
33,COFORGE.NS,Coforge Limited,NIFTY LargeMidcap 250,Information Technology,2,1,1,50.0,9864.48,5.14,5.8
34,ZYDUSWELL.NS,Zydus Wellness Limited,NIFTY Smallcap 250,Fast Moving Consumer Goods,1,1,0,100.0,9537.42,99.0,6.0
35,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,NIFTY Next 50,Financial Services,1,1,0,100.0,9310.86,99.0,6.0
36,OFSS.NS,Oracle Financial Services Software Limited,NIFTY LargeMidcap 250,Information Technology,2,1,1,50.0,9242.9,2.34,3.36
37,EIHOTEL.NS,EIH Limited,NIFTY Smallcap 250,Consumer Services,1,1,0,100.0,9191.16,99.0,6.0
38,MINDACORP.NS,Minda Corporation Limited,NIFTY Smallcap 250,Automobile and Auto Components,1,1,0,100.0,9154.94,99.0,6.0
39,ENRIN.NS,Siemens Energy India Limited,NIFTY Next 50,Capital Goods,1,1,0,100.0,9133.34,99.0,6.0
40,SBFC.NS,SBFC Finance Limited,NIFTY Smallcap 250,Financial Services,1,1,0,100.0,9125.69,99.0,6.0
41,KPIL.NS,Kalpataru Projects International Limited,NIFTY Smallcap 250,Construction,1,1,0,100.0,8886.01,99.0,7.72
42,LTFOODS.NS,LT Foods Limited,NIFTY Smallcap 250,Fast Moving Consumer Goods,1,1,0,100.0,8676.78,99.0,6.0
43,ARE&M.NS,Amara Raja Energy & Mobility Limited,NIFTY Smallcap 250,Automobile and Auto Components,3,1,2,33.3,8549.97,3.46,0.0
44,AXISBANK.NS,Axis Bank Limited,NIFTY Bank,Financial Services,1,1,0,100.0,8364.74,99.0,6.63
45,ANANTRAJ.NS,Anant Raj Limited,NIFTY Smallcap 250,Realty,1,1,0,100.0,8226.99,99.0,6.0
46,MUTHOOTFIN.NS,Muthoot Finance Limited,NIFTY Next 50,Financial Services,6,3,3,50.0,8121.54,2.37,1.25
47,BELRISE.NS,Belrise Industries Limited,NIFTY Smallcap 250,Automobile and Auto Components,2,2,0,100.0,8118.5,99.0,6.0
48,DIVISLAB.NS,Divi's Laboratories Limited,NIFTY Next 50,Healthcare,3,2,1,66.7,7683.01,7.67,1.65
49,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,NIFTY Smallcap 250,Financial Services,1,1,0,100.0,7643.33,99.0,6.0
50,SAMMAANCAP.NS,Sammaan Capital Limited,NIFTY Smallcap 250,Financial Services,1,1,0,100.0,7363.22,99.0,6.0
